"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
75,"NCT04331600","ChloroQUine As antiviRal treAtmeNT In coroNavirus infEction 2020","QUARANTINE2020","Not yet recruiting","No Results Available","COVID-19","Drug: Chloroquine phosphate|Other: Telemedicine","COVID-19-related hospitalization or all-cause death|Decrease in COVID-19 symptoms|Development of pneumonia|Development of coronavirus infection-related complications","Wroclaw Medical University","All","18 Years and older   (Adult, Older Adult)","Phase 4","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QUARANTINE2020","April 6, 2020","September 30, 2020","December 31, 2020","April 2, 2020",,"April 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04331600"
76,"NCT04280588","Fingolimod in COVID-19",,"Recruiting","No Results Available","Coronavirus Disease (COVID-19)","Drug: Fingolimod 0.5 mg","The change of pneumonia severity on X-ray images","First Affiliated Hospital of Fujian Medical University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MRCTA, ECFAH of FMU [2020]027","February 22, 2020","July 1, 2020","July 1, 2020","February 21, 2020",,"February 21, 2020","Wan-Jin Chen, Fuzhou, China",,"https://ClinicalTrials.gov/show/NCT04280588"
77,"NCT04325061","Efficacy of Dexamethasone Treatment for Patients With ARDS Caused by COVID-19","DEXA-COVID19","Recruiting","No Results Available","Acute Respiratory Distress Syndrome Caused by COVID-19","Drug: Dexamethasone","60-day mortality|Ventilator-free days","Dr. Negrin University Hospital|Li Ka Shing Knowledge Institute|Consorcio Centro de Investigación Biomédica en Red, M.P.","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001278-31","April 3, 2020","October 30, 2020","October 30, 2020","March 27, 2020",,"April 8, 2020","ICU, Hospital Universitari Mutua Terrassa, Terrassa, Barcelona, Spain|Hospital Universitario Dr. Negrin, Las Palmas de Gran Canaria, Las Palmas, Spain|Department of Anesthesia, Hospital Universitario de Cruces, Barakaldo, Vizcaya, Spain|Intensive Care Unit, Hospital Universitario de Cruces, Barakaldo, Vizcaya, Spain|AVI, Hospital Clinic, Barcelona, Spain|Cardiac ICU, Hospital Clinic, Barcelona, Spain|Department of Anesthesia, Hospital Clinic, Barcelona, Spain|Hepatic ICU, Hospital Clínic, Barcelona, Spain|UVIR, Hospital Clinic, Barcelona, Spain|Intensive Care Unit, Hospital General de Ciudad Real, Ciudad Real, Spain|Department of Anesthesia, Hospital Universitario La Princesa, Madrid, Spain|Intensive Care Unit, Hospital Universitario La Princesa, Madrid, Spain|Intensive Care Unit, Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Department of Anesthesia, Hospital Universitario La Paz, Madrid, Spain|Intensive Care Unit, Hospital Universitario La Paz, Madrid, Spain|Department of Anesthesia, Hospital Universitario Virgen de Arrixaca, Murcia, Spain|Intensive Care Unit, Hospital Universitario Virgen de la Arrixaca, Murcia, Spain|Department of Anesthesia, Hospital Unversitario Montecelo, Pontevedra, Spain|Anesthesia, Hospital General Universitario de Valencia, Valencia, Spain|Department of Anesthesia, Hospital Clinico Universitario, Valencia, Spain|Intensive Care Unit, Hospital Clinico Universitario, Valencia, Spain|Department of Anesthesia, Hospital Clínico Universitario, Valladolid, Spain|Intensive Care Unit, Hospital Universitario Río Hortega, Valladolid, Spain",,"https://ClinicalTrials.gov/show/NCT04325061"
78,"NCT04315896","Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial)","HYDRA","Not yet recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","All-cause hospital mortality|Length of hospital stay|Need of mechanical ventilation|Ventilator free days|Grade 3-4 adverse reaction","National Institute of Respiratory Diseases, Mexico|Sanofi","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","500","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HidroxycloroquinaCOVID19","March 23, 2020","October 31, 2020","March 22, 2021","March 20, 2020",,"March 20, 2020",,,"https://ClinicalTrials.gov/show/NCT04315896"
79,"NCT04335201","Defibrotide in COVID-19 Pneumonia","DEFI-VID19","Not yet recruiting","No Results Available","Patients With COVID-19 Pneumonia Will Allow to Detect an Absolute Reduction in the Rate of Respiratory-failure","Drug: Defibrotide Injection","to able to reduce the progression of acute respiratory failure|Adverse events|duration of hospitalization|systemic inflammation|overall survival","IRCCS San Raffaele","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DEFI-VID19","April 6, 2020","September 30, 2020","December 31, 2020","April 6, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04335201"
80,"NCT04329559","COVID-19 in Patients With Pre-existing Cirrhosis (COVID-Cirrhosis-CHESS2002): A Multicentre Observational Study",,"Recruiting","No Results Available","COVID-19|Liver Cirrhosis",,"All-cause mortality of COVID-19 patients with liver cirrhosis|Liver-related mortality of COVID-19 patients with liver cirrhosis|Risk factors associated with specific outcomes of COVID-19 patients with liver cirrhosis|Baseline characteristics of COVID-19 patients with liver cirrhosis","Hepatopancreatobiliary Surgery Institute of Gansu Province|Renmin Hospital of Wuhan University|LanZhou University|Minda Hospital Affiliated to Hubei University for Nationalities|Wuhan Union Hospital, China|The Central Hospital of Enshi Tujia And Miao Autonomous Prefecture|Tianjin Second People's Hospital|Sixth People’s Hospital of Shenyang|Guangxi Zhuang Autonomous Region|Shenzhen Third People's Hospital|Ankang Central Hospital|Xingtai People's Hospital|Dalian Sixth People’s Hospital|The Central Hospital of Lishui City|The Affiliated Third Hospital of Jiangsu University|Suizhou Hospital, Hubei University of Medicine","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","CHESS2002","March 30, 2020","June 29, 2020","June 29, 2021","April 1, 2020",,"April 1, 2020","Dalian Sixth People's Hospital, Dalian, China|Minda Hospital Affiliated to Hubei University for Nationalities, Enshi, China|The Central Hospital of Enshi Tujia And Miao Autonomous Prefecture, Enshi, China|The First Hospital of Lanzhou University, Lanzhou, China|The Central Hospital of Lishui City, Lishui, China|Guangxi Zhuang Autonomous Region, Nanning, China|The Sixth Peoples Hospital of Shenyang, Shenyang, China|Shenzhen Third People's Hospital, Shenzhen, China|Suizhou Hospital, Hubei University of Medicine, Suizhou, China|Tianjin Second People's Hospital, Tianjin, China|Ankang Central Hospital, Wuhan, China|Renmin Hospital of Wuhan University, Wuhan, China|Wuhan Union Hospital, Wuhan, China|Xingtai People's Hospital, Xingtai, China|The Affiliated Third Hospital of Jiangsu University, Zhenjiang, China",,"https://ClinicalTrials.gov/show/NCT04329559"
81,"NCT04318301","Hypertension in Patients Hospitalized With COVID-19","HT-COVID19","Active, not recruiting","No Results Available","COVID-19|Hypertension",,"Rate of Death|the severity of pneumonia","Zhenhua Zen|Nanfang Hospital of Southern Medical University","All","18 Years to 100 Years   (Adult, Older Adult)",,"275","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","HT-COVID19","March 21, 2020","March 28, 2020","March 30, 2020","March 23, 2020",,"April 7, 2020","Hankou Hospital, Hankou, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04318301"
82,"NCT04337359","Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness",,"Available","No Results Available","Severe/Very Severe COVID-19 Illness","Drug: Ruxolitinib",,"Novartis Pharmaceuticals|Novartis","All","6 Years and older   (Child, Adult, Older Adult)",,,"Industry","Expanded Access:Intermediate-size Population",,"CINC424A2001M",,,,"April 7, 2020",,"April 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04337359"
83,"NCT04332107","Azithromycin for COVID-19 Treatment in Outpatients Nationwide","ACTION","Not yet recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Azithromycin|Drug: Placebos","Hospitalization|Viral load|Mortality|Adverse events|Positive SARS-CoV-2 test - nasal swab|Positive SARS-CoV-2 test - saliva swab|Positive SARS-CoV-2 test - rectal swab|Genetic macrolide resistance determinants|COVID-19 symptoms|Number of emergency room visits|Number of household members with COVID-19 (confirmed or symptomatic)","University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 3","2271","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20-30504","April 1, 2020","July 30, 2020","July 30, 2021","April 2, 2020",,"April 8, 2020","University of California San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04332107"
84,"NCT04328441","Reducing Health Care Workers Absenteeism in Covid-19 Pandemic Through BCG Vaccine","BCG-CORONA","Recruiting","No Results Available","COVID-19","Drug: BCG Vaccine|Drug: Placebo","Health Care Workers absenteeism|The cumulative incidence of documented SARS-CoV-2 infection|The number of days of unplanned absenteeism, because of documented SARS-CoV-2 infection|The number of days of absenteeism, because of imposed quarantine as a result of exposure to SARS-CoV-2 infection|The number of days of absenteeism, because of imposed quarantine as a result of having acute respiratory symptoms, fever or documented SARS-CoV-2 infection|The number of days of unplanned absenteeism because of self-reported acute respiratory symptoms|The number of days of self-reported fever (≥38 gr C)|The number of days of self-reported acute respiratory symptoms|The cumulative incidence of self-reported acute respiratory symptoms|The cumulative incidence of death for any reason|The cumulative incidence of death due to documented SARS-CoV-2 infection|The cumulative incidence of Intensive Care Admission for any reason|The cumulative incidence of Intensive Care Admission due to documented SARS-CoV-2 infection|The cumulative incidence of Hospital Admission for any reason|The cumulative incidence of Hospital Admission due to documented SARS-CoV-2 infection|The incidence and magnitude of SARS-CoV-2 antibodies at the end of the study period","UMC Utrecht|Radboud University","All","18 Years and older   (Adult, Older Adult)","Phase 3","1500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","NL73249.041.20","March 25, 2020","October 25, 2020","December 25, 2020","March 31, 2020",,"April 3, 2020","Jeroen Bosch ziekenhuis, Den Bosch, Brabant, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Gelderland, Netherlands|Radboud UMC, Nijmegen, Gelderland, Netherlands|Sint Maartenskliniek, Nijmegen, Gelderland, Netherlands|Noordwest Ziekenhuisgroep locatie Alkmaar, Alkmaar, Noord Holland, Netherlands|Hagaziekenhuis, Den Haag, Zuid-Holland, Netherlands|Leiden University Medical Center, Leiden, Zuid-Holland, Netherlands|Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04328441"
85,"NCT04334044","Treatment of SARS Caused by COVID-19 With Ruxolitinib",,"Not yet recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2","Drug: Ruxolitinib Oral Tablet","Recovery of Pneumonia|Response of C-reactive protein|Response of Ferritin|Response of D-dimer|Rate of ICU admission|Rate of mechanical ventilation|Overall Survival|Toxicity Rate","Grupo Cooperativo de Hemopatías Malignas","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HAL 345/2020","April 1, 2020","June 1, 2020","June 1, 2020","April 3, 2020",,"April 3, 2020","Grupo Cooperativo de Hemopatías Malignas, Huixquilucan, Estado De México, Mexico",,"https://ClinicalTrials.gov/show/NCT04334044"
86,"NCT04332913","Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia","TOSCA","Not yet recruiting","No Results Available","COVID-19 Pneumonia",,"Percentage of patients with complete recovery defined as fever disappearance and return to normal peripheral oxygen saturation values (SpO2) after 14 days from the end of treatment with tocilizumab.|Percentage of patients achieving a score <3 on the Brescia-COVID respiratory severity scale (BCRSS) after the last tocilizumab administration.|Percentage of patients with partial recovery defined as the disappearance of fever 14 days after the end of treatment with tocilizumab.|Duration of hospitalization|Time to the first negative SARS-CoV-2 negative RT-PCR test|Changes from the baseline in the white blood cell count|Changes from the baseline in the lymphocyte populations (cluster of differentiation (CD)3+CD4+, CD3+CD8+, CD19+, Th17)|Changes from the baseline of c-reactive protein (CRP) values|Changes from the baseline of Ferritin values|Changes from the baseline of BNP values|Changes from the baseline of CK-MB values|Changes from the baseline of Troponin values|Changes from the baseline of LDH values|Changes from the baseline of myoglobulin values|Changes in myocardial ischemia signs at the electrocardiographic trace (YES or NO)|Rate of adverse events report during and after tocilizumab|Mortality (number of Partecipants, cause and timing)|Percentage of patients who develop autoimmune diseases","University of L'Aquila","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","0064468/20","April 1, 2020","December 31, 2020","March 31, 2021","April 3, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04332913"
87,"NCT04328493","The Vietnam Chloroquine Treatment on COVID-19","VICO","Not yet recruiting","No Results Available","SARS-CoV-2 Infection|COVID-19","Drug: Chloroquine phosphate","Viral clearance time|Lengh of hospital stay|Ventilator free days|Oxygene free days|Time to death|Adverse events|Time to viral PCR negative from rectal swab|fever clearance time|Ordinal outcome scale|Development of ARDS","Oxford University Clinical Research Unit, Vietnam|Ministry of Health, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Vietnam|Can Gio COVID Hospital, Vietnam|Cho Ray Hospital, Vietnam|National Hospital for Tropical Diseases, Hanoi, Vietnam|Department of Health, Ho Chi Minh city","All","18 Years and older   (Adult, Older Adult)","Phase 2","250","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID","April 1, 2020","April 1, 2021","April 1, 2022","March 31, 2020",,"March 31, 2020","National Hospital for Tropical Diseases, Hanoi, Vietnam|Can Gio COVID Hospital, Ho Chi Minh City, Vietnam|Cho Ray Hospital, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Ho Chi Minh City, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT04328493"
88,"NCT04330521","Impact of the Coronavirus (COVID-19) on Patients With Cancer",,"Not yet recruiting","No Results Available","Cancer|COVID-19",,"Number of participants who fill out the survey and participate in the semi-structured interviews.","Stanford University","All","18 Years to 99 Years   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","55596","April 2020","May 2022","May 2022","April 1, 2020",,"April 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04330521"
89,"NCT04317040","CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment","SAC-COVID","Not yet recruiting","No Results Available","Severe Coronavirus Disease (COVID-19)","Drug: CD24Fc|Drug: Placebo","Improvement of COVID-19 disease status|Conversion rate of clinical status at Day 8|Conversion rate of clinical status at Day 15|Hospital discharge time|All cause of death|Duration of mechanical ventilation|Duration of pressors|Duration of ECMO|Duration of oxygen therapy|Length of hospital stay|Absolute lymphocyte count","OncoImmune, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","230","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CD24Fc-007","May 2020","May 2021","May 2022","March 20, 2020",,"March 23, 2020","Institute of Human Virology, University of Maryland Baltimore, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04317040"
90,"NCT04336332","Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19",,"Not yet recruiting","No Results Available","SARS-CoV-2|COVID-19","Combination Product: Hydroxychloroquine Sulfate + Azithromycin|Drug: Hydroxychloroquine Sulfate","Changes in patients viral load|Second evaluation of changes in patients viral load|Symptom questionnaire|Fever assessment|Vital Signs - Body Temperature|Discharge|Recovery|Assessment of agent toxicity|Nasal swab sample collections|Blood Sample collections|Viral shedding assessment - nasopharyngeal secretions|Viral shedding assessment - serology|Cytokines in blood","Rutgers, The State University of New Jersey","All","18 Years and older   (Adult, Older Adult)","Phase 2","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","002011|Pro2020000712","April 6, 2020","April 30, 2021","April 30, 2021","April 7, 2020",,"April 7, 2020","Robert Wood Johnson University Hopsital, New Brunswick, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|The University Hospital, Newark, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04336332"
91,"NCT04336657","Corona-Like Illness: Did we Got it Before WHO Announcement of the Disease?",,"Recruiting","No Results Available","COVID-19","Other: Questionnaire|Diagnostic Test: IgG","Measure frequency of people suffered from unusual flu-like symptoms before December 2019|Measure remote immunity for COVID-19 in subject with past history of severe flu before WHO announcement date- if possible","Assiut University","All","8 Years to 80 Years   (Child, Adult, Older Adult)",,"100","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","AssiutU11","April 2020","May 2020","May 2020","April 7, 2020",,"April 7, 2020","AssiutU, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04336657"
92,"NCT04338932","COVID-19 and Deep Venous Thrombosis",,"Not yet recruiting","No Results Available","COVID-19|Deep Vein Thrombosis (DVT)/Thrombophlebitis",,"to investigate the prevalence and identify possible risk factors of the occurrence of a DVT in these patients at the ICU.","Jessa Hospital","All","18 Years and older   (Adult, Older Adult)",,"12","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","JessaH_COVID19_DVT","April 17, 2020","September 30, 2020","December 30, 2020","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04338932"
93,"NCT04334005","Vitamin D on Prevention and Treatment of COVID-19","COVITD-19","Not yet recruiting","No Results Available","Patients Infected With COVID-19","Dietary Supplement: Vitamin D","Composite of cumulative death (i.e. mortality) for all causes and for specific causes.|Necessity of invasive assisted ventilation|Necessity of non-invasive assisted ventilation|Intensive care unit admission|Post-anesthesia care unit admission|Hospital admission|Medical consultation|Home care and isolation time|Bed rest time|symptoms' duration (i.e. cough, fever, nasal congestion, gastrointestinal symptoms, fatigue, anosmia, ageusia, diarrhea or alternative signs of COVID-19)|Subjective perception of recovery","Universidad de Granada","All","40 Years to 70 Years   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVITD-19","April 10, 2020","June 30, 2020","June 30, 2020","April 3, 2020",,"April 7, 2020","Universidad de Granada, Granada, Andalucia, Spain|Medicine Faculty, Granada, Spain",,"https://ClinicalTrials.gov/show/NCT04334005"
94,"NCT04288102","Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)",,"Recruiting","No Results Available","Corona Virus Disease 2019(COVID-19)","Biological: MSCs|Biological: Saline containing 1% Human serum albumin（solution of MSC）","Size of lesion area and severity of pulmonary fibrosis by chest CT|mMRC (Modified Medical Research Council) dyspnea scale|Oxygenation index( PaO2/FiO2)|Duration of oxygen therapy(days)|Duration of hospitalization(days)|Blood oxygen saturation|CD4+ T cell count and cytokine level|Side effects in the MSCs treatment group|6-minute walk test|Maximum vital capacity (VCmax)|Diffusing Capacity (DLCO)","Beijing 302 Hospital|Wuhan Huoshenshan Hospital, Wuhan, China|Maternal and Child Health Hospital of Hubei Province|General Hospital of Central Theater Command, Wuhan, China|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-013-D","March 5, 2020","July 15, 2020","July 31, 2020","February 28, 2020",,"April 7, 2020","Maternal and Child Hospital of Hubei Province, Wuhan, Hubei, China|Wuhan Huoshenshan Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04288102"
95,"NCT04286503","The Clinical Study of Carrimycin on Treatment Patients With COVID-19",,"Not yet recruiting","No Results Available","Novel Coronavirus Infectious Disease (COVID-19)","Drug: Carrimycin|Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate|Drug: basic treatment","Fever to normal time (day)|Pulmonary inflammation resolution time (HRCT) (day)|Negative conversion (%) of 2019-nCOVRNA in gargle (throat swabs) at the end of treatment","Beijing YouAn Hospital|Shenyang Tonglian Group Co., Ltd.|Institute of Medicine and Biotechnology, Chinese Academy of Medical Sciences|Huangshi Central Hospital|Shenyang Pharmaceutical University|First Affiliated Hospital of Chongqing Medical University|The Second Affiliated Hospital of Harbin Medical University|No.2 People's Hospital of Fuyang City|First Affiliated Hospital Bengbu Medical College|Renmin Hospital of Wuhan University|The sixth people's hospital of Shenyang|Nanyang Central Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","520","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BeijingYouan Hospital","February 23, 2020","February 28, 2021","February 28, 2021","February 27, 2020",,"February 27, 2020",,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04286503"
96,"NCT04293692","Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus",,"Withdrawn","No Results Available","COVID-19","Biological: UC-MSCs|Other: Placebo","Size of lesion area by chest imaging|Blood oxygen saturation|Rate of mortality within 28-days|Sequential organ failure assessment|Side effects in the UC-MSCs treatment group|Electrocardiogram, the changes of ST-T interval mostly|Concentration of C-reactive protein C-reactive protein, immunoglobulin|CD4+ and CD8+ T cells count|Concentration of the blood cytokine (IL-1β, IL-6, IL-8,IL-10,TNF-α)|Concentration of the myocardial enzymes","Puren Hospital Affiliated to Wuhan University of Science and Technology|Wuhan Hamilton Bio-technology Co., Ltd","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","Pr20200225","February 24, 2020","February 25, 2020","February 25, 2020","March 3, 2020",,"March 18, 2020","Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04293692"
97,"NCT04329507","Non-invasive Detection of Pneumonia in Context of Covid-19 Using Gas Chromatography - Ion Mobility Spectrometry (GC-IMS)",,"Not yet recruiting","No Results Available","COVID-19|Respiratory Disease","Diagnostic Test: Breath test","To perform a study in patients with clinical features of pneumonia/chest infection to identify a signature of Covid-19 pneumonia in patients exposed to SARS-CoV-2, compared to unexposed patients or those without.|Detection of markers of Covid-19 pneumonia in non-invasive breath samples.|Relationship of this biomarker signature to the presence of SARS-CoV-2 in nasal and throat swabs.|Subsequently, the signature's relationship to other biomarkers of SARS-CoV-2 infection which are currently being explored|In a smaller group of participants, ideally daily non-invasive breath samples will be collected to determine if there are changes between SARS-CoV-2 positive patients and those that are negative until hospital discharge or undue participant burden .","NHS Lothian","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","282014","March 25, 2020","March 25, 2020","March 25, 2020","April 1, 2020",,"April 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04329507"
98,"NCT04333472","Piclidenoson for Treatment of COVID-19",,"Not yet recruiting","No Results Available","COVID-19|Coronavirus Infection","Drug: Piclidenoson","Duration of viral shedding in days|Time to clinical recovery (TTCR) in days|Treatment-emergent adverse events (AEs)|Requirement for non-invasive or mechanical ventilation|Length of hospital stay in days|Estimated PaO2/FiO2 ratio on day of discharge|All-cause mortality|Patients reaching undetectable COVID-19 virus levels in respiratory secretions|Duration of symptoms and signs of respiratory infection in days|Need for supportive respiratory management|Viral load|Treatment-emergent serious AEs (SAEs)|AEs leading to withdrawal|Treatment-emergent abnormalities in clinical laboratory parameters","Can-Fite BioPharma|Rabin Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CAN-COR-1","April 6, 2020","June 6, 2020","July 6, 2020","April 3, 2020",,"April 3, 2020","Rabin Medical Center, Petah tikva, Israel",,"https://ClinicalTrials.gov/show/NCT04333472"
99,"NCT04338828","Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED","NO COV-ED","Not yet recruiting","No Results Available","COVID19","Drug: Nitric Oxide Gas|Other: Inhaled Supplemental Oxygen","Rates of return visits to the ED|Inpatient hospitalizations required|Rates of intubation|Rates of mortality","Massachusetts General Hospital|Department of Anesthesia, Critical Care and Pain Medicine (DACCPM), Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","260","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2019P00XXXX","April 2020","April 2021","April 2022","April 8, 2020",,"April 8, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04338828"
100,"NCT04335305","Checkpoint Blockade in COVID-19 Pandemic","COPERNICO","Not yet recruiting","No Results Available","COVID-19|Pneumonia, Viral","Drug: Tocilizumab|Biological: Pembrolizumab (MK-3475)","Percentage of patients with normalization of SpO2 ≥96%|Proportion of patients with temperature < 37,5 °C armpit.|Proportion of patients discharged from the emergency department and classified as low risk|Change from baseline in organ failure parameters|Proportion of mortality rate|Analysis of the remission of respiratory symptoms|Evaluation of the radiological response|Time to first negative in SARS-CoV-2 RT-PCR test|Change from baseline of ALC (absolute lymphocyte count),white blood cell count and white blood cell differential count|Change from baseline of hemoglobin|Change from baseline of platelets|Change from baseline of activated partial thromboplastin time (aPTT)|Change from baseline of Alanine Aminotransferase (ALT) and Aspartate Aminotransferase (AST)|Change from baseline of creatinine|Change from baseline of glucose|Change from baseline of total bilirubin|Change from baseline of albumin|Incidence of adverse events (AEs), incidence of prespecified AEs (safety and tolerability)","MedSIR","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MedOPP376","March 30, 2020","May 15, 2020","May 15, 2020","April 6, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04335305"
